timestamp,windspeed_north,windspeed_east,covariance_north,covariance_east
492757070,0.0,0.0,0.0,0.0
492856687,0.0,0.0,0.0,0.0
492956977,0.0,0.0,0.0,0.0
493058238,0.0,0.0,0.0,0.0
493162244,0.0,0.0,0.0,0.0
493262238,0.0,0.0,0.0,0.0
493366267,0.0,0.0,0.0,0.0
493466119,0.0,0.0,0.0,0.0
493566742,0.0,0.0,0.0,0.0
493670898,0.0,0.0,0.0,0.0
493770853,0.0,0.0,0.0,0.0
493870918,0.0,0.0,0.0,0.0
493975377,0.0,0.0,0.0,0.0
494074984,0.0,0.0,0.0,0.0
494174902,0.0,0.0,0.0,0.0
494278987,0.0,0.0,0.0,0.0
494379698,0.0,0.0,0.0,0.0
494481509,0.0,0.0,0.0,0.0
494580497,0.0,0.0,0.0,0.0
494684628,0.0,0.0,0.0,0.0
494785543,0.0,0.0,0.0,0.0
494888579,0.0,0.0,0.0,0.0
494990106,0.0,0.0,0.0,0.0
495090730,0.0,0.0,0.0,0.0
495191309,0.0,0.0,0.0,0.0
495294093,0.0,0.0,0.0,0.0
495394232,0.0,0.0,0.0,0.0
495494282,0.0,0.0,0.0,0.0
495596347,0.0,0.0,0.0,0.0
495699699,0.0,0.0,0.0,0.0
495800346,0.0,0.0,0.0,0.0
495904386,0.0,0.0,0.0,0.0
496004165,0.0,0.0,0.0,0.0
496104050,0.0,0.0,0.0,0.0
496208505,0.0,0.0,0.0,0.0
496308593,0.0,0.0,0.0,0.0
496408480,0.0,0.0,0.0,0.0
496512680,0.0,0.0,0.0,0.0
496612748,0.0,0.0,0.0,0.0
496713582,0.0,0.0,0.0,0.0
496816514,0.0,0.0,0.0,0.0
496918284,0.0,0.0,0.0,0.0
497018583,0.0,0.0,0.0,0.0
497118612,0.0,0.0,0.0,0.0
497222306,0.0,0.0,0.0,0.0
497322256,0.0,0.0,0.0,0.0
497426213,0.0,0.0,0.0,0.0
497529966,0.0,0.0,0.0,0.0
497633870,0.0,0.0,0.0,0.0
497736212,0.0,0.0,0.0,0.0
497835800,0.0,0.0,0.0,0.0
497940172,0.0,0.0,0.0,0.0
498039717,0.0,0.0,0.0,0.0
498143490,0.0,0.0,0.0,0.0
498245834,0.0,0.0,0.0,0.0
498345370,0.0,0.0,0.0,0.0
498445545,0.0,0.0,0.0,0.0
498549317,0.0,0.0,0.0,0.0
498649775,0.0,0.0,0.0,0.0
498750999,0.0,0.0,0.0,0.0
498851460,0.0,0.0,0.0,0.0
498955539,0.0,0.0,0.0,0.0
499055008,0.0,0.0,0.0,0.0
499158870,0.0,0.0,0.0,0.0
499260218,0.0,0.0,0.0,0.0
499360504,0.0,0.0,0.0,0.0
499460476,0.0,0.0,0.0,0.0
499563055,0.0,0.0,0.0,0.0
499662789,0.0,0.0,0.0,0.0
499760496,0.0,0.0,0.0,0.0
499862704,0.0,0.0,0.0,0.0
499966644,0.0,0.0,0.0,0.0
500066638,0.0,0.0,0.0,0.0
500170118,0.0,0.0,0.0,0.0
500270139,0.0,0.0,0.0,0.0
500372764,0.0,0.0,0.0,0.0
500472369,0.0,0.0,0.0,0.0
500575961,0.0,0.0,0.0,0.0
500675672,0.0,0.0,0.0,0.0
500777866,0.0,0.0,0.0,0.0
500879798,0.0,0.0,0.0,0.0
500979772,0.0,0.0,0.0,0.0
501081148,0.0,0.0,0.0,0.0
501184634,0.0,0.0,0.0,0.0
501285234,0.0,0.0,0.0,0.0
501385170,0.0,0.0,0.0,0.0
501488644,0.0,0.0,0.0,0.0
501590594,0.0,0.0,0.0,0.0
501692617,0.0,0.0,0.0,0.0
501792586,0.0,0.0,0.0,0.0
501894782,0.0,0.0,0.0,0.0
501995152,0.0,0.0,0.0,0.0
502098668,0.0,0.0,0.0,0.0
502198269,0.0,0.0,0.0,0.0
502298189,0.0,0.0,0.0,0.0
502400307,0.0,0.0,0.0,0.0
502503880,0.0,0.0,0.0,0.0
502603727,0.0,0.0,0.0,0.0
502707710,0.0,0.0,0.0,0.0
502809873,0.0,0.0,0.0,0.0
502908390,0.0,0.0,0.0,0.0
503009449,0.0,0.0,0.0,0.0
503113305,0.0,0.0,0.0,0.0
503213394,0.0,0.0,0.0,0.0
503313435,0.0,0.0,0.0,0.0
503417962,0.0,0.0,0.0,0.0
503517523,0.0,0.0,0.0,0.0
503619527,0.0,0.0,0.0,0.0
503722904,0.0,0.0,0.0,0.0
503822908,0.0,0.0,0.0,0.0
503923122,0.0,0.0,0.0,0.0
504027615,0.0,0.0,0.0,0.0
504127171,0.0,0.0,0.0,0.0
504228508,0.0,0.0,0.0,0.0
504328934,0.0,0.0,0.0,0.0
504432523,0.0,0.0,0.0,0.0
504533085,0.0,0.0,0.0,0.0
504632609,0.0,0.0,0.0,0.0
504737935,0.0,0.0,0.0,0.0
504838047,0.0,0.0,0.0,0.0
504939298,0.0,0.0,0.0,0.0
505042370,0.0,0.0,0.0,0.0
505142257,0.0,0.0,0.0,0.0
505242849,0.0,0.0,0.0,0.0
505344000,0.0,0.0,0.0,0.0
505448319,0.0,0.0,0.0,0.0
505547673,0.0,0.0,0.0,0.0
505648406,0.0,0.0,0.0,0.0
505752463,0.0,0.0,0.0,0.0
505851810,0.0,0.0,0.0,0.0
505953771,0.0,0.0,0.0,0.0
506057336,0.0,0.0,0.0,0.0
506157319,0.0,0.0,0.0,0.0
506257594,0.0,0.0,0.0,0.0
506362078,0.0,0.0,0.0,0.0
506462119,0.0,0.0,0.0,0.0
506563482,0.0,0.0,0.0,0.0
506662942,0.0,0.0,0.0,0.0
506767180,0.0,0.0,0.0,0.0
506866856,0.0,0.0,0.0,0.0
506971375,0.0,0.0,0.0,0.0
507070864,0.0,0.0,0.0,0.0
507173074,0.0,0.0,0.0,0.0
507272846,0.0,0.0,0.0,0.0
507377428,0.0,0.0,0.0,0.0
507477073,0.0,0.0,0.0,0.0
507576511,0.0,0.0,0.0,0.0
507678450,0.0,0.0,0.0,0.0
507782125,0.0,0.0,0.0,0.0
507883118,0.0,0.0,0.0,0.0
507982312,0.0,0.0,0.0,0.0
508086181,0.0,0.0,0.0,0.0
508186196,0.0,0.0,0.0,0.0
508286901,0.0,0.0,0.0,0.0
508391607,0.0,0.0,0.0,0.0
508491096,0.0,0.0,0.0,0.0
508595377,0.0,0.0,0.0,0.0
508694913,0.0,0.0,0.0,0.0
508795131,0.0,0.0,0.0,0.0
508899460,0.0,0.0,0.0,0.0
508999383,0.0,0.0,0.0,0.0
509101170,0.0,0.0,0.0,0.0
509200849,0.0,0.0,0.0,0.0
509304518,0.0,0.0,0.0,0.0
509404476,0.0,0.0,0.0,0.0
509508598,0.0,0.0,0.0,0.0
509608581,0.0,0.0,0.0,0.0
509710327,0.0,0.0,0.0,0.0
509810831,0.0,0.0,0.0,0.0
509914800,0.0,0.0,0.0,0.0
510014241,0.0,0.0,0.0,0.0
510114881,0.0,0.0,0.0,0.0
510219410,0.0,0.0,0.0,0.0
510319188,0.0,0.0,0.0,0.0
510418984,0.0,0.0,0.0,0.0
510523174,0.0,0.0,0.0,0.0
510623012,0.0,0.0,0.0,0.0
510722999,0.0,0.0,0.0,0.0
510826975,0.0,0.0,0.0,0.0
510927430,0.0,0.0,0.0,0.0
511028108,0.0,0.0,0.0,0.0
511131944,0.0,0.0,0.0,0.0
511232239,0.0,0.0,0.0,0.0
511331767,0.0,0.0,0.0,0.0
511435795,0.0,0.0,0.0,0.0
511535699,0.0,0.0,0.0,0.0
511640380,0.0,0.0,0.0,0.0
511739673,0.0,0.0,0.0,0.0
511841886,0.0,0.0,0.0,0.0
511941994,0.0,0.0,0.0,0.0
512045341,0.0,0.0,0.0,0.0
512146193,0.0,0.0,0.0,0.0
512245319,0.0,0.0,0.0,0.0
512349332,0.0,0.0,0.0,0.0
512450341,0.0,0.0,0.0,0.0
512550471,0.0,0.0,0.0,0.0
512654111,0.0,0.0,0.0,0.0
512754820,0.0,0.0,0.0,0.0
512854213,0.0,0.0,0.0,0.0
512959009,0.0,0.0,0.0,0.0
513058097,0.0,0.0,0.0,0.0
513159722,0.0,0.0,0.0,0.0
513263829,0.0,0.0,0.0,0.0
513364517,0.0,0.0,0.0,0.0
513463954,0.0,0.0,0.0,0.0
513567790,0.0,0.0,0.0,0.0
513667803,0.0,0.0,0.0,0.0
513769272,0.0,0.0,0.0,0.0
513870863,0.0,0.0,0.0,0.0
513974210,0.0,0.0,0.0,0.0
514073765,0.0,0.0,0.0,0.0
514177282,0.0,0.0,0.0,0.0
514277317,0.0,0.0,0.0,0.0
514378649,0.0,0.0,0.0,0.0
514478243,0.0,0.0,0.0,0.0
514583043,0.0,0.0,0.0,0.0
514682824,0.0,0.0,0.0,0.0
514786796,0.0,0.0,0.0,0.0
514886225,0.0,0.0,0.0,0.0
514986371,0.0,0.0,0.0,0.0
515091427,0.0,0.0,0.0,0.0
515191585,0.0,0.0,0.0,0.0
515291187,0.0,0.0,0.0,0.0
515395369,0.0,0.0,0.0,0.0
515495264,0.0,0.0,0.0,0.0
515595772,0.0,0.0,0.0,0.0
515699576,0.0,0.0,0.0,0.0
515798870,0.0,0.0,0.0,0.0
515900495,0.0,0.0,0.0,0.0
516001166,0.0,0.0,0.0,0.0
516104512,0.0,0.0,0.0,0.0
516204635,0.0,0.0,0.0,0.0
516309425,0.0,0.0,0.0,0.0
516408974,0.0,0.0,0.0,0.0
516510115,0.0,0.0,0.0,0.0
