timestamp,roll,pitch,yaw,thrust
788617884,0.0409632,0.0323933,0.131818,0.0
788629501,0.0430557,0.0318784,0.131499,0.0
788637602,0.0586379,0.0315503,0.131105,0.0
788649530,0.059771,0.0298921,0.131252,0.0
788657546,0.0566407,0.0293097,0.131655,0.0
788673619,0.0514497,0.0281621,0.132971,0.0
788685537,0.0481793,0.027114,0.134142,0.0
788695907,0.0587492,0.0265292,0.134704,0.0
788705487,0.0579172,0.0257507,0.135186,0.0
788715997,0.0550997,0.0259739,0.135349,0.0
788729458,0.0510026,0.0270763,0.136268,0.0
788741458,0.0418655,0.0279738,0.137774,0.0
788749598,0.0363809,0.0288257,0.139083,0.0
788761649,0.037945,0.0306151,0.140983,0.0
788769477,0.0319036,0.0312987,0.14245,0.0
788785575,0.0188418,0.0325547,0.144946,0.0
788793521,0.00890232,0.0331531,0.146074,0.0
788809483,-0.00274897,0.033382,0.148896,0.0
788817444,-0.0136821,0.0336532,0.150391,0.0
788834348,-0.0170504,0.0330883,0.153371,0.0
788845795,-0.0228064,0.0323336,0.155008,0.0
788859274,-0.0388598,0.0300803,0.154696,0.0
788869689,-0.0431142,0.0291445,0.154815,0.0
788883565,-0.0535383,0.0276062,0.153627,0.0
788895702,-0.0431017,0.0283041,0.155759,0.0
788903411,-0.0387915,0.0278651,0.15582,0.0
788916509,-0.0313049,0.0267304,0.155158,0.0
788927181,-0.015467,0.0250761,0.152525,0.0
788935152,-0.00874957,0.0235721,0.149832,0.0
788947027,0.00780933,0.0210518,0.146169,0.0
788955113,0.0120825,0.0199597,0.14412,0.0
788971078,0.024853,0.0172286,0.141474,0.0
788983173,0.0413961,0.0149427,0.140141,0.0
788991269,0.0462179,0.0134695,0.139268,0.0
789003130,0.0476313,0.0112749,0.137747,0.0
789012320,0.0503743,0.010062,0.136468,0.0
789023354,0.0603169,0.00929486,0.134078,0.0
789035220,0.0801897,0.00878941,0.132147,0.0
789045561,0.0843569,0.0092956,0.130996,0.0
789055537,0.0834226,0.0100607,0.130417,0.0
789067091,0.0800571,0.0109777,0.131212,0.0
789075552,0.0703212,0.0116537,0.132582,0.0
789083170,0.0624786,0.0121617,0.134484,0.0
789099383,0.040804,0.0134856,0.139822,0.0
789107109,0.0299688,0.0140862,0.14249,0.0
789123213,0.0219089,0.015175,0.147968,0.0
789139552,-0.000749435,0.015822,0.15293,0.0
789151129,-0.0119383,0.0166171,0.155844,0.0
789163182,-0.0239487,0.0160975,0.158313,0.0
789175188,-0.0176784,0.0158359,0.15938,0.0
789185627,-0.0182893,0.0152614,0.159781,0.0
789195088,-0.0191164,0.0141177,0.159633,0.0
789203593,-0.0168662,0.0135496,0.159228,0.0
789219023,-0.0122426,0.0118517,0.157813,0.0
789227173,-0.00819298,0.0111802,0.156907,0.0
789243560,-0.00250751,0.00956081,0.154696,0.0
789255470,0.0174214,0.00855382,0.152735,0.0
789265602,0.0233867,0.00814263,0.151222,0.0
789279111,0.0315446,0.00703021,0.148365,0.0
789290635,0.0374408,0.00653141,0.146871,0.0
789299478,0.0455375,0.00556895,0.144473,0.0
789311137,0.0564954,0.00536791,0.141585,0.0
789319882,0.0637671,0.00482594,0.139615,0.0
789335087,0.0924547,0.00402506,0.135311,0.0
789347083,0.105348,0.00387125,0.131943,0.0
789355079,0.111783,0.00333411,0.129911,0.0
789367036,0.122699,0.00268537,0.127174,0.0
789375823,0.12521,0.00235516,0.125508,0.0
789389198,0.133711,0.0019602,0.123379,0.0
789399115,0.138867,0.00196022,0.121812,0.0
789409481,0.1416,0.00185528,0.121132,0.0
789419122,0.156987,0.00158485,0.120704,0.0
789431085,0.156578,0.00220119,0.120732,0.0
789439072,0.152823,0.00215193,0.121077,0.0
789451477,0.150359,0.00258442,0.12167,0.0
789459134,0.146817,0.00263871,0.122246,0.0
789473824,0.153096,0.0025379,0.123412,0.0
789483912,0.148067,0.00285112,0.124684,0.0
789492638,0.143239,0.00259163,0.125762,0.0
789504710,0.137186,0.00278262,0.127301,0.0
789512893,0.132651,0.00261002,0.128113,0.0
789525132,0.130043,0.00231674,0.128842,0.0
789532784,0.126698,0.00229529,0.129142,0.0
789546781,0.125279,0.00288794,0.129415,0.0
789556661,0.13653,0.00322846,0.13008,0.0
789567043,0.134096,0.00360205,0.130632,0.0
