timestamp,roll_body,pitch_body,yaw_body,yaw_sp_move_rate,q_d[0],q_d[1],q_d[2],q_d[3],thrust,landing_gear,q_d_valid,roll_reset_integral,pitch_reset_integral,yaw_reset_integral,fw_control_yaw,disable_mc_yaw_control,apply_flaps
632595383,-0.741708,0.135378,-0.465112,0.0,0.910501,-0.33732,0.144674,-0.190454,0.783158,0.0,1,0,0,0,0,0,0
632615838,-0.742119,0.136786,-0.467972,0.0,0.910174,-0.337131,0.145829,-0.191467,0.785208,0.0,1,0,0,0,0,0,0
632636076,-0.742531,0.138107,-0.469796,0.0,0.909944,-0.337026,0.146769,-0.192025,0.786914,0.0,1,0,0,0,0,0,0
632655496,-0.742931,0.139351,-0.469796,0.0,0.90989,-0.337058,0.147366,-0.191767,0.788116,0.0,1,0,0,0,0,0,0
632695383,-0.743783,0.141591,-0.475465,0.0,0.909224,-0.336754,0.149409,-0.19387,0.790143,0.0,1,0,0,0,0,0,0
632715829,-0.744222,0.142605,-0.474434,0.0,0.90926,-0.336907,0.149732,-0.193182,0.791363,0.0,1,0,0,0,0,0,0
632737666,-0.744619,0.143535,-0.477252,0.0,0.90893,-0.336762,0.150662,-0.194262,0.793505,0.0,1,0,0,0,0,0,0
632755556,-0.744993,0.144489,-0.480062,0.0,0.908604,-0.336603,0.151599,-0.195335,0.796448,0.0,1,0,0,0,0,0,0
632776117,-0.745465,0.145363,-0.480062,0.0,0.908533,-0.336709,0.152037,-0.195138,0.79997,0.0,1,0,0,0,0,0,0
632795818,-0.746005,0.146241,-0.482863,0.0,0.908177,-0.336633,0.152955,-0.196207,0.803818,0.0,1,0,0,0,0,0,0
632815851,-0.746634,0.147105,-0.481824,0.0,0.908182,-0.336891,0.153228,-0.195528,0.808063,0.0,1,0,0,0,0,0,0
632837651,-0.747182,0.14793,-0.484614,0.0,0.907825,-0.336823,0.154121,-0.1966,0.812518,0.0,1,0,0,0,0,0,0
632855610,-0.747735,0.148832,-0.487395,0.0,0.907467,-0.336746,0.155047,-0.197652,0.816774,0.0,1,0,0,0,0,0,0
632875505,-0.748371,0.149702,-0.487395,0.0,0.907369,-0.336925,0.155499,-0.197442,0.821491,0.0,1,0,0,0,0,0,0
632895540,-0.748899,0.150574,-0.490168,0.0,0.907014,-0.336839,0.156408,-0.198497,0.826513,0.0,1,0,0,0,0,0,0
632915845,-0.749422,0.151444,-0.492933,0.0,0.90666,-0.33675,0.157315,-0.199548,0.831682,0.0,1,0,0,0,0,0,0
632936218,-0.74996,0.152351,-0.492933,0.0,0.906579,-0.336879,0.157773,-0.199337,0.836856,0.0,1,0,0,0,0,0,0
632955581,-0.750472,0.153298,-0.494635,0.0,0.906332,-0.336856,0.158534,-0.199892,0.841952,0.0,1,0,0,0,0,0,0
632975482,-0.750959,0.154282,-0.49738,0.0,0.905985,-0.336733,0.159483,-0.200914,0.846967,0.0,1,0,0,0,0,0,0
632995440,-0.751446,0.155288,-0.49738,0.0,0.905914,-0.336825,0.159981,-0.200688,0.85167,0.0,1,0,0,0,0,0,0
633015496,-0.751911,0.156335,-0.500116,0.0,0.90557,-0.336682,0.160956,-0.201695,0.855951,0.0,1,0,0,0,0,0,0
633035625,-0.752379,0.15744,-0.502845,0.0,0.905227,-0.336531,0.161954,-0.202686,0.859897,0.0,1,0,0,0,0,0,0
633076089,-0.753103,0.159785,-0.505565,0.0,0.904853,-0.336333,0.16353,-0.203421,0.867301,0.0,1,0,0,0,0,0,0
633095521,-0.753327,0.161019,-0.508277,0.0,0.904551,-0.336051,0.164557,-0.204399,0.870633,0.0,1,0,0,0,0,0,0
633115490,-0.75353,0.162257,-0.508277,0.0,0.904529,-0.335981,0.165129,-0.204151,0.873786,0.0,1,0,0,0,0,0,0
633135713,-0.753722,0.163515,-0.510981,0.0,0.904232,-0.335678,0.166162,-0.205122,0.876798,0.0,1,0,0,0,0,0,0
633155534,-0.753882,0.164792,-0.512601,0.0,0.904051,-0.335447,0.167017,-0.205602,0.879708,0.0,1,0,0,0,0,0,0
633176162,-0.754039,0.166074,-0.512601,0.0,0.904037,-0.335349,0.167603,-0.205349,0.882554,0.0,1,0,0,0,0,0,0
633195525,-0.754047,0.167391,-0.515285,0.0,0.903771,-0.334952,0.168639,-0.206315,0.884941,0.0,1,0,0,0,0,0,0
633215496,-0.754096,0.168666,-0.515285,0.0,0.903774,-0.334805,0.16921,-0.206072,0.887272,0.0,1,0,0,0,0,0,0
633235528,-0.754003,0.169928,-0.517961,0.0,0.903525,-0.334368,0.170208,-0.207052,0.889231,0.0,1,0,0,0,0,0,0
633255547,-0.753962,0.17118,-0.520628,0.0,0.903266,-0.333953,0.171205,-0.208026,0.890886,0.0,1,0,0,0,0,0,0
633275653,-0.753888,0.172423,-0.520628,0.0,0.903289,-0.333753,0.171749,-0.2078,0.892407,0.0,1,0,0,0,0,0,0
633295544,-0.753823,0.173677,-0.523288,0.0,0.903033,-0.333325,0.172741,-0.208771,0.893776,0.0,1,0,0,0,0,0,0
633315566,-0.753647,0.174924,-0.525939,0.0,0.902796,-0.332847,0.173717,-0.20975,0.894731,0.0,1,0,0,0,0,0,0
633335595,-0.75343,0.176142,-0.525939,0.0,0.902842,-0.332583,0.174234,-0.20954,0.895295,0.0,1,0,0,0,0,0,0
633355597,-0.753152,0.17733,-0.529679,0.0,0.902505,-0.331969,0.175352,-0.211029,0.895688,0.0,1,0,0,0,0,0,0
633375596,-0.753009,0.178511,-0.532317,0.0,0.902259,-0.33151,0.176298,-0.212011,0.896244,0.0,1,0,0,0,0,0,0
633395601,-0.752793,0.179681,-0.532317,0.0,0.902304,-0.331252,0.176792,-0.211811,0.896879,0.0,1,0,0,0,0,0,0
633435627,-0.751698,0.181965,-0.53757,0.0,0.901944,-0.329975,0.178555,-0.213849,0.897636,0.0,1,0,0,0,0,0,0
633455667,-0.751065,0.183045,-0.53757,0.0,0.902057,-0.329539,0.178964,-0.213703,0.897347,0.0,1,0,0,0,0,0,0
633475707,-0.750465,0.1841,-0.540184,0.0,0.901884,-0.328887,0.179797,-0.214738,0.896729,0.0,1,0,0,0,0,0,0
633495828,-0.749971,0.185128,-0.54279,0.0,0.901692,-0.328286,0.180626,-0.215765,0.896293,0.0,1,0,0,0,0,0,0
633515827,-0.74937,0.186096,-0.54279,0.0,0.901798,-0.327879,0.180989,-0.215638,0.895848,0.0,1,0,0,0,0,0,0
633535847,-0.748981,0.187051,-0.546506,0.0,0.901466,-0.327232,0.181977,-0.21717,0.895348,0.0,1,0,0,0,0,0,0
633555884,-0.748822,0.18798,-0.549099,0.0,0.901217,-0.326792,0.182793,-0.218179,0.895336,0.0,1,0,0,0,0,0,0
633575843,-0.748746,0.188866,-0.549099,0.0,0.901235,-0.326632,0.183176,-0.21802,0.896023,0.0,1,0,0,0,0,0,0
633595901,-0.748805,0.189737,-0.551683,0.0,0.90095,-0.326297,0.183989,-0.219016,0.897731,0.0,1,0,0,0,0,0,0
633615890,-0.748891,0.190566,-0.554259,0.0,0.900659,-0.325979,0.184784,-0.220014,0.900592,0.0,1,0,0,0,0,0,0
633636051,-0.749149,0.191374,-0.554259,0.0,0.900623,-0.325979,0.185169,-0.219838,0.904304,0.0,1,0,0,0,0,0,0
633655941,-0.749342,0.192147,-0.557962,0.0,0.900188,-0.325611,0.186134,-0.221343,0.908396,0.0,1,0,0,0,0,0,0
633675950,-0.749579,0.192923,-0.557962,0.0,0.900155,-0.325606,0.186501,-0.221175,0.912895,0.0,1,0,0,0,0,0,0
633695972,-0.749751,0.193664,-0.560525,0.0,0.899849,-0.325336,0.187264,-0.222173,0.917837,0.0,1,0,0,0,0,0,0
633716040,-0.749738,0.194252,-0.563079,0.0,0.899571,-0.325005,0.187936,-0.223213,0.922672,0.0,1,0,0,0,0,0,0
633736024,-0.749524,0.194701,-0.564224,0.0,0.899481,-0.324736,0.188296,-0.223664,0.926846,0.0,1,0,0,0,0,0,0
633756071,-0.749074,0.19499,-0.566773,0.0,0.89927,-0.324251,0.188786,-0.224799,0.930318,0.0,1,0,0,0,0,0,0
633776160,-0.748491,0.195168,-0.569313,0.0,0.89908,-0.323723,0.18921,-0.225962,0.933686,0.0,1,0,0,0,0,0,0
633796147,-0.747982,0.195215,-0.570467,0.0,0.899032,-0.323378,0.18936,-0.226521,0.9366,0.0,1,0,0,0,0,0,0
633816110,-0.747449,0.195203,-0.573003,0.0,0.89883,-0.3229,0.189703,-0.227713,0.939251,0.0,1,0,0,0,0,0,0
633856164,-0.746591,0.194932,-0.575529,0.0,0.898677,-0.322315,0.189894,-0.22898,0.942672,0.0,1,0,0,0,0,0,0
633876152,-0.746305,0.19473,-0.579214,0.0,0.898298,-0.321866,0.190366,-0.230701,0.943504,0.0,1,0,0,0,0,0,0
633896182,-0.746092,0.19449,-0.579214,0.0,0.898331,-0.321806,0.190236,-0.230766,0.944158,0.0,1,0,0,0,0,0,0
633916180,-0.745749,0.194214,-0.5829,0.0,0.897956,-0.321342,0.190668,-0.232506,0.944563,0.0,1,0,0,0,0,0,0
