timestamp,error_count,differential_pressure_raw_pa,differential_pressure_filtered_pa,max_differential_pressure_pa,temperature
482325173,0,186.559,190.494,1406.31,20.214
482373729,0,185.721,190.294,1406.31,20.2025
482422625,0,183.598,189.749,1406.31,20.2597
482475268,0,178.99,188.919,1406.31,20.1968
482527646,0,181.489,187.714,1406.31,20.274
482578610,0,188.878,186.62,1406.31,20.2025
482634550,0,186.35,186.135,1406.31,20.2111
482687893,0,182.351,185.888,1406.31,20.214
482739169,0,178.466,185.353,1406.31,20.2874
482787112,0,186.112,184.77,1406.31,20.3917
482847458,0,182.77,184.135,1406.31,20.3174
482898915,0,186.664,183.653,1406.31,20.2154
482943203,0,189.911,183.395,1406.31,20.2597
482996650,0,185.721,183.568,1406.31,20.2025
483053529,0,183.608,184.155,1406.31,20.2311
483104111,0,187.378,184.591,1406.31,20.2826
483151743,0,169.092,184.804,1406.31,20.2197
483209762,0,174.972,183.842,1406.31,20.2568
483260523,0,172.886,182.386,1406.31,20.1997
483312077,0,173.305,180.936,1406.31,20.2054
483364619,0,178.742,179.517,1406.31,20.3083
483421528,0,181.932,177.919,1406.31,20.2083
483473781,0,183.608,177.241,1406.31,20.2311
483524361,0,183.57,177.354,1406.31,20.3455
483573762,0,173.934,177.774,1406.31,20.214
483624725,0,181.475,178.043,1406.31,20.3169
483684862,0,187.878,178.243,1406.31,20.3612
483732607,0,180.247,178.474,1406.31,20.214
483784844,0,189.882,178.703,1406.31,20.3455
483833763,0,172.039,179.228,1406.31,20.2168
483885931,0,190.33,179.886,1406.31,20.2654
483937859,0,178.347,180.61,1406.31,20.2311
483999687,0,178.556,180.892,1406.31,20.234
484049784,0,179.59,180.818,1406.31,20.2912
484097399,0,173.934,180.452,1406.31,20.214
484147698,0,184.631,180.041,1406.31,20.3169
484201425,0,174.981,179.699,1406.31,20.2283
484261676,0,173.505,179.095,1406.31,20.2368
484309763,0,162.989,178.283,1406.31,20.2225
484357235,0,166.669,176.827,1406.31,20.2297
484410787,0,161.389,175.039,1406.31,20.2869
484467508,0,158.552,172.587,1406.31,20.2769
484515550,0,166.774,170.562,1406.31,20.2311
484567332,0,179.79,169.189,1406.31,20.3226
484619712,0,155.524,168.52,1406.31,20.2068
484679255,0,160.042,167.582,1406.31,20.2254
484731040,0,164.231,166.575,1406.31,20.2826
484783081,0,154.939,165.439,1406.31,20.3855
484831056,0,169.887,164.101,1406.31,20.3598
484883162,0,158.852,163.181,1406.31,20.324
484944584,0,173.253,162.71,1406.31,20.3626
484992748,0,155.838,162.928,1406.31,20.2111
485044911,0,170.516,163.017,1406.31,20.3683
485101474,0,167.416,163.237,1406.31,20.1968
485149421,0,177.276,163.926,1406.31,20.1906
485196853,0,164.679,164.825,1406.31,20.1048
485244828,0,162.951,165.432,1406.31,20.3369
