timestamp,rollspeed,pitchspeed,yawspeed,q[0],q[1],q[2],q[3]
329159350,0.0720629,0.0962275,0.03526,0.91342,0.0205763,0.00353926,-0.406482
329167537,0.0747227,0.110375,0.0434487,0.913474,0.0210268,0.00380241,-0.406335
329179908,0.0702448,0.12667,0.0594305,0.913585,0.021728,0.00427784,-0.406044
329191427,0.0624708,0.140924,0.0746407,0.913736,0.0224329,0.00485582,-0.405658
329203902,0.0451517,0.148566,0.0892934,0.913922,0.0230722,0.00551765,-0.405196
329215412,0.0294769,0.159334,0.103051,0.914145,0.0236529,0.00626736,-0.404648
329224741,0.0150396,0.163376,0.108468,0.914308,0.0239898,0.0068169,-0.404251
329235391,0.00045179,0.16475,0.115801,0.914568,0.0244242,0.00768109,-0.403622
329248388,-0.0158425,0.164864,0.120281,0.914843,0.0247789,0.00859312,-0.402957
329259387,-0.0243533,0.158586,0.124855,0.915128,0.0250555,0.00950876,-0.402272
329273342,-0.0267919,0.151775,0.131027,0.915427,0.0252958,0.0103953,-0.401555
329283378,-0.0274393,0.139856,0.136881,0.915739,0.0255035,0.0112268,-0.400806
329295386,-0.0195533,0.124643,0.141238,0.916064,0.0257085,0.011968,-0.400028
329303445,-0.0176475,0.111437,0.141666,0.916282,0.0258376,0.0123999,-0.399508
329315351,-0.00732266,0.0839918,0.140492,0.916606,0.0260172,0.0129178,-0.398735
329327347,-0.00253706,0.0534228,0.138147,0.916927,0.0261675,0.0132501,-0.397977
329336499,0.00118623,0.0339754,0.136555,0.917138,0.0262407,0.013375,-0.397479
329347358,0.00704514,0.0044587,0.133039,0.917449,0.0263163,0.0134203,-0.396755
329360025,0.0117358,-0.0205356,0.128782,0.917753,0.0263625,0.0133063,-0.396053
329371325,0.0187439,-0.0474276,0.123042,0.918043,0.0263756,0.0130351,-0.395388
329383483,0.0274826,-0.0810892,0.11686,0.91832,0.0263612,0.0125723,-0.39476
329392106,0.0326868,-0.104376,0.111437,0.918495,0.0263281,0.0121467,-0.394368
329404433,0.0448312,-0.133224,0.101749,0.918741,0.0262724,0.0113469,-0.393822
329415871,0.0548232,-0.145248,0.0930293,0.918963,0.0262315,0.0104171,-0.393333
329427378,0.06835,-0.133768,0.0847227,0.919161,0.0262611,0.0094878,-0.392891
329439303,0.079515,-0.108449,0.0757793,0.919336,0.026409,0.00864766,-0.392491
329447592,0.0857099,-0.0920173,0.0716213,0.919441,0.0265744,0.00815379,-0.392244
329459832,0.0984603,-0.0766144,0.0634385,0.919578,0.0269102,0.00747556,-0.391913
329471401,0.107032,-0.0785461,0.0555421,0.919695,0.0273162,0.00679446,-0.391622
329483826,0.117121,-0.0930023,0.0486366,0.919794,0.0277465,0.00603182,-0.391373
329495370,0.128306,-0.120567,0.0422485,0.919875,0.0281816,0.00511627,-0.391164
329504014,0.135007,-0.14197,0.0385211,0.91992,0.0284648,0.00439715,-0.391046
329516959,0.146289,-0.179839,0.0312877,0.919981,0.0289266,0.00296303,-0.390882
329525600,0.151075,-0.199542,0.0272394,0.920005,0.0291791,0.00200609,-0.390813
329537005,0.155544,-0.220495,0.0190457,0.920025,0.029533,0.000456095,-0.390746
329545495,0.154797,-0.225605,0.010737,0.920022,0.0297578,-0.000623399,-0.390734
