timestamp,indicated_airspeed_m_s,true_airspeed_m_s,true_airspeed_unfiltered_m_s,air_temperature_celsius,confidence,differential_pressure_filtered_pa
330617913,0.0,0.0,0.0,23.4211,1.0,-1.80687
330629586,0.0,0.0,2.29935,23.4468,1.0,-1.86708
330641948,0.0,0.0,0.0,23.4268,1.0,-1.91188
330653912,0.0,0.0,0.164028,23.4482,1.0,-1.94187
330665766,0.0,0.0,1.53879,23.4668,1.0,-1.95856
330676827,0.0,0.0,0.0,23.4496,1.0,-1.96335
330689313,0.0,0.0,0.0,23.4296,1.0,-1.96948
330701624,0.0,0.0,0.449216,23.4496,1.0,-1.98044
330713408,0.0,0.0,0.0,23.4325,1.0,-1.98689
330725433,0.0,0.0,0.0,23.4268,1.0,-1.98697
330738328,0.0,0.0,1.66059,23.4268,1.0,-1.97991
330749484,0.0,0.0,0.0,23.4382,1.0,-1.96162
330762353,0.0,0.0,1.76661,23.4296,1.0,-1.93194
330774260,0.0,0.0,0.0,23.4639,1.0,-1.89361
330785977,0.0,0.0,0.0,23.4539,1.0,-1.85553
330798784,0.0,0.0,1.48085,23.4654,1.0,-1.81961
330809600,0.0,0.0,0.0,23.4382,1.0,-1.78581
330821943,0.0,0.0,0.0,23.4411,1.0,-1.7609
330834006,0.0,0.0,0.0,23.4353,1.0,-1.73969
330846525,0.0,0.0,0.0,23.4368,1.0,-1.71554
330857730,0.0,0.0,0.0,23.4368,1.0,-1.68915
330869499,0.0,0.0,0.0,23.4382,1.0,-1.66488
330881549,0.0,0.0,0.0,23.4439,1.0,-1.6503
330892712,0.0,0.0,0.0,23.4582,1.0,-1.64893
330903719,0.0,0.0,0.0,23.4582,1.0,-1.65888
330915550,0.0,0.0,0.0,23.4725,1.0,-1.67613
330927694,0.0,0.0,0.0,23.4611,1.0,-1.70099
330939123,0.0,0.0,0.0,23.4725,1.0,-1.73228
330951430,0.0,0.0,0.0,23.4611,1.0,-1.77059
330963376,0.0,0.0,0.0,23.4525,1.0,-1.82125
330975173,0.0,0.0,0.0,23.4468,1.0,-1.87902
330987296,0.0,0.0,0.0,23.4439,1.0,-1.93804
331000181,0.0,0.0,0.0,23.4339,1.0,-1.99998
331011957,0.0,0.0,0.0,23.4268,1.0,-2.06293
331023609,0.0,0.0,0.0,23.4554,1.0,-2.12176
331035035,0.0,0.0,0.0,23.4211,1.0,-2.17928
331046891,0.0,0.0,0.0,23.4211,1.0,-2.24351
331058990,0.0,0.0,0.0,23.4239,1.0,-2.31938
331071323,0.0,0.0,0.0,23.4182,1.0,-2.40388
331083893,0.0,0.0,0.0,23.4353,1.0,-2.48775
331095920,0.0,0.0,0.0,23.4668,1.0,-2.56891
331107565,0.0,0.0,0.0,23.4639,1.0,-2.64668
331119380,0.0,0.0,0.0,23.4668,1.0,-2.7153
331131930,0.0,0.0,0.0,23.4482,1.0,-2.77406
331143536,0.0,0.0,0.0,23.4611,1.0,-2.82575
331155596,0.0,0.0,0.0,23.4639,1.0,-2.86981
331167341,0.0,0.0,0.0,23.4525,1.0,-2.90609
331178871,0.0,0.0,1.86298,23.4325,1.0,-2.9306
331191118,0.0,0.0,0.0,23.4253,1.0,-2.94168
331202986,0.0,0.0,0.0,23.4382,1.0,-2.95411
331215223,0.0,0.0,0.0,23.4268,1.0,-2.97833
331226921,0.0,0.0,0.0,23.4296,1.0,-3.01371
331237560,0.0,0.0,0.0,23.4268,1.0,-3.05979
331248420,0.0,0.0,0.0,23.4496,1.0,-3.11326
331261493,0.0,0.0,0.0,23.4211,1.0,-3.16741
331274771,0.0,0.0,0.0,23.4211,1.0,-3.21818
331288774,0.0,0.0,0.0,23.4411,1.0,-3.2679
331300631,0.0,0.0,0.0,23.4382,1.0,-3.317
331310634,0.0,0.0,0.0,23.4211,1.0,-3.36555
331320693,0.0,0.0,0.0,23.4611,1.0,-3.42016
331332471,0.0,0.0,0.0,23.4582,1.0,-3.48393
331344791,0.0,0.0,0.0,23.4382,1.0,-3.56126
331358354,0.0,0.0,0.0,23.4554,1.0,-3.65716
