timestamp,voltage_v,voltage_filtered_v,current_a,current_filtered_a,discharged_mah,remaining,scale,cell_count,connected,warning
369478363,11.8326,11.5573,2.0956,2.11474,105.032,0.902339,1.01696,3,1,0
369779963,11.9146,11.5563,2.108,2.0484,105.193,0.897868,1.01775,3,1,0
370081537,12.0048,11.5975,2.1948,2.04929,105.366,0.914442,1.01482,3,1,0
370381597,11.8982,11.6675,2.0336,2.1263,105.552,0.945387,1.00941,3,1,0
370682342,11.8736,11.7243,2.1204,2.14488,105.734,0.968228,1.00505,3,1,0
370982440,10.9552,11.6801,1.4012,1.99386,105.883,0.948059,1.00895,3,1,0
371283907,10.7338,11.6374,1.0664,1.86194,106.023,0.926612,1.01269,3,1,0
371583923,11.2832,11.6199,1.7484,1.79325,106.164,0.917364,1.01431,3,1,0
371885536,11.9064,11.6571,1.9468,1.84132,106.323,0.934948,1.01123,3,1,0
372187090,11.9392,11.7068,2.1948,1.95669,106.501,0.959782,1.00691,3,1,0
372487089,11.6768,11.7519,2.2568,2.03662,106.681,0.967886,1.00301,3,1,0
372788697,12.0704,11.7964,2.1328,2.10504,106.867,0.967832,1.0,3,1,0
373089551,11.9474,11.8377,2.1452,2.15635,107.053,0.967777,1.0,3,1,0
373389505,12.054,11.8696,2.2444,2.17567,107.237,0.967722,1.0,3,1,0
373690331,10.7994,11.8822,1.2648,2.1843,107.422,0.967667,1.00096,3,1,0
373991147,11.972,11.8457,2.3064,2.20287,107.607,0.967612,1.00188,3,1,0
374291941,12.0376,11.8185,2.542,2.21086,107.793,0.967557,1.00249,3,1,0
374603955,11.9146,11.8323,2.6536,2.32197,108.007,0.967498,1.00007,3,1,0
374893539,11.9392,11.853,3.1248,2.68383,108.266,0.967441,1.0,3,1,0
375205647,12.0294,11.8898,2.3436,2.66206,108.497,0.967374,1.0,3,1,0
375506334,11.7178,11.9113,2.604,2.62648,108.712,0.96731,1.00005,3,1,0
375806293,11.5374,11.7963,3.1372,2.70914,108.942,0.958908,1.00707,3,1,0
376107893,11.1192,11.8223,2.1576,2.82719,109.197,0.96718,1.00287,3,1,0
376407928,11.849,11.8142,3.0876,2.83475,109.434,0.967111,1.002,3,1,0
376709493,12.0212,11.8525,3.1372,2.87188,109.679,0.967042,1.0,3,1,0
377011096,12.095,11.8921,4.2532,2.95216,109.934,0.966971,1.0,3,1,0
377311108,11.9064,11.9071,2.9636,3.2336,110.243,0.966897,1.0,3,1,0
377612759,11.931,11.9037,2.6784,2.98838,110.461,0.966821,1.0,3,1,0
377914634,12.136,11.9014,2.8024,2.8624,110.685,0.966748,1.0,3,1,0
378214311,12.1032,11.8678,2.9016,2.7375,110.897,0.966676,1.00061,3,1,0
378515159,12.0786,11.8604,3.906,2.95606,111.17,0.966604,1.00021,3,1,0
378815154,11.9392,11.8249,6.3116,3.83978,111.588,0.966526,1.00061,3,1,0
379116693,11.9228,11.837,6.4232,4.79177,112.111,0.966432,1.0,3,1,0
379416882,11.972,11.792,6.2,5.31262,112.618,0.966324,1.0012,3,1,0
379718327,11.849,11.7873,6.2496,5.675,113.14,0.966205,1.00075,3,1,0
380019896,11.808,11.7417,6.4108,5.8794,113.658,0.966077,1.00275,3,1,0
380319893,12.0048,11.7482,6.2496,6.04774,114.183,0.965943,1.00087,3,1,0
380621515,11.9392,11.7226,6.3984,6.09074,114.699,0.965804,1.00192,3,1,0
380921727,11.808,11.755,5.9272,6.14596,115.218,0.96566,1.0,3,1,0
381223094,11.8408,11.7885,6.1504,6.19252,115.742,0.965514,1.0,3,1,0
381524707,11.9064,11.7982,6.4356,6.25544,116.274,0.965364,1.0,3,1,0
381824804,11.9392,11.8278,6.5968,6.31329,116.808,0.965212,1.0,3,1,0
382126277,11.3242,11.7945,6.0512,6.31549,117.338,0.965057,1.00273,3,1,0
382427877,10.7748,11.7005,5.5304,6.20398,117.845,0.952698,1.00814,3,1,0
382727913,11.193,11.6477,5.6916,6.1243,118.345,0.937962,1.01071,3,1,0
383029488,11.1684,11.624,6.0016,6.13316,118.86,0.934803,1.01126,3,1,0
383330292,10.824,11.6152,5.7164,6.13854,119.375,0.936902,1.01089,3,1,0
383631095,11.2586,11.5289,6.0636,6.08179,119.875,0.90074,1.01724,3,1,0
383932745,11.9638,11.5524,6.6092,6.14244,120.398,0.91572,1.0146,3,1,0
384232788,11.8736,11.5944,6.2992,6.19944,120.922,0.938659,1.01058,3,1,0
384533515,11.9474,11.6653,6.696,6.27891,121.457,0.963818,1.00433,3,1,0
384833676,11.8326,11.702,6.2,6.31544,121.988,0.96366,1.00102,3,1,0
385135151,11.9064,11.7344,6.2744,6.32919,122.52,0.963502,1.0,3,1,0
385436888,11.7588,11.7678,6.2,6.34797,123.054,0.963343,1.0,3,1,0
385736738,11.8326,11.7997,6.2,6.36994,123.587,0.963184,1.0,3,1,0
386038297,11.8572,11.8185,6.2248,6.379,124.122,0.963023,1.0,3,1,0
386338344,12.0048,11.7875,6.448,6.32271,124.642,0.962863,1.00093,3,1,0
386639896,11.7506,11.79,6.2744,6.33262,125.172,0.962704,1.0,3,1,0
386941501,12.0048,11.8108,6.5348,6.33431,125.702,0.962544,1.0,3,1,0
387241532,11.9064,11.7908,6.3488,6.31586,126.225,0.962384,1.0,3,1,0
387543118,11.7834,11.7816,6.1504,6.2989,126.749,0.962225,1.0,3,1,0
387844780,11.9228,11.7996,6.5224,6.3417,127.286,0.962065,1.0,3,1,0
388144695,11.8408,11.8141,6.3736,6.32852,127.811,0.961905,1.0,3,1,0
388446333,11.8572,11.8221,6.7084,6.36864,128.35,0.961744,1.0,3,1,0
388746293,11.9146,11.8307,6.076,6.35376,128.878,0.961583,1.0,3,1,0
389047897,11.9392,11.7911,6.696,6.27263,129.392,0.961423,1.00123,3,1,0
389349536,11.8244,11.8097,6.262,6.29266,129.922,0.961263,1.0,3,1,0
389649655,11.9556,11.8023,6.3984,6.26813,130.442,0.961104,1.0,3,1,0
